Well,Regional_group,Region,Location,latitude,longitude,aquifer_id,subtype_sym,Snow_influenced,Training_start_date,Climate_station_Id,Climate_station_me,Climate_Infilled_id,Climate_secondary_Infilled,Climate_tertiary_Infilled,Climate_quaternary_Infilled,snow_stn,Lag_time,DWC_Precip,DWC_Snow,station_name_RF_forecast,ann_size,ann_decay,ann_maxit,R2_14,R2_30,R2_60,R2_90,NRMSE_14,NRMSE_30,NRMSE_60,NRMSE_90,RSR_14,RSR_30,RSR_60,RSR_90
OW399,Interior 1,Kamloops,Knutsford,50.5896,-120.30618,276,NA,1,2004-01-01,1216,KAMLOOPS PRATT ROAD,42203,51423,1022,0,1F03P,7,100,3,AFT,10,0.1,500,0.788580859,0.685294784,0.6291369,0.654414408,0.144935548,0.197779286,0.225499599,0.222579417,0.543404163,0.849928655,1.075789024,1.06804435
OW075,Interior 2,Penticton,Keremeos,49.20635,-119.82532,259,1a,1,2004-01-01,1053. 50269,PENTICTON A,1041,979,1056. 52958,6834,2G03P,8,100,5,AHN,5,0.1,500,0.937279384,0.867551855,0.786198221,0.736726514,0.073341764,0.107758981,0.136912028,0.158083472,0.156859246,0.303721127,0.500556032,0.646497078
OW375,Interior 1,Kamloops,Blue River,52.116147,-119.31344,825,NA,1,2004-01-01,1237,BLUE RIVER A,8214,1367,1340,0,1E02P,7,100,5,BLU,5,0.1,500,0.924208145,0.837361328,0.813917814,0.799878288,0.101005764,0.153824345,0.176436736,0.19223648,0.281697883,0.660970094,0.902291056,1.016473364
OW268,Vancouver Island 1,Nanaimo,Denman Island,49.53466,-124.76883,740,5a,0,2004-01-01,155,COMOX A,225,8045,181,0,3A25P,7,5,,BOW,5,0.01,200,0.941171538,0.929129262,0.917130624,0.911519868,0.107973716,0.129887475,0.148789913,0.157766117,0.684778865,0.887133892,1.037113397,1.084627792
OW310,Vancouver Island 1,Nanaimo,Bowser,49.448724,-124.716175,416,4b,0,2004-01-01,8045,PORT ALBERNI (AUT),181,225,45627,0,3A25P,80,1,,BOW,5,0.01,200,0.977231324,0.954316964,0.932850841,0.932909414,0.031580359,0.046812151,0.061370014,0.066829487,0.049311155,0.154866383,0.352339495,0.514063568
OW288,Vancouver Island 2,Nanaimo,Hornby Island,49.506,-124.64873,438,5a,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,8045,155,0,3A25P,30,1,,BOW,10,0.01,100,0.970553576,0.942551253,0.900089604,0.879555986,0.091339179,0.127084126,0.17442216,0.191769111,0.200477883,0.437849155,0.777180808,0.951347538
OW371,Vancouver Island 2,Nanaimo,Hwy 19A (T'Sable River ),49.51874,-124.83962,415,2,0,2004-01-01,225,ALBERNI ROBERTSON CREEK,155,8045,181,0,3A25P,7,2,,BOW,20,0.01,500,0.863340809,0.848466913,0.821412238,0.805440975,0.136255519,0.133916242,0.156659975,0.166584552,0.829045268,0.964012373,1.041696078,1.079051848
OW426,Vancouver Island 3,Nanaimo,Qualicum,49.36456,-124.61434,662,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,8045,225,0,3A25P,7,1,,BOW,15,0.1,200,0.87902528,0.853792208,0.81647666,0.770959306,0.098458289,0.108303048,0.120777011,0.133973467,0.138359963,0.170121946,0.214787831,0.262708693
OW306,Interior 2,Penticton,Beaverdell,49.438271,-119.086497,482,1c,1,2004-01-01,1053. 50269,PENTICTON A,979,1041,1091,1046,2E07P,7,10,5,BVD,15,0.01,200,0.93265743,0.882343693,0.843524029,0.807782479,0.079360256,0.110447443,0.14616815,0.17193491,0.268189266,0.497886942,0.737470232,0.854554
OW390,Vancouver Island 1,Nanaimo,Cedar,49.108143,-123.823252,162,5a,0,2004-01-01,132. 29411,ENTRANCE ISLAND,192. 51318. 52941,26,0,0,3A25P,35,10,,CED,20,0.1,500,0.968412377,0.957626778,0.937921084,0.918148445,0.044528187,0.050568212,0.060473591,0.070003809,0.032450185,0.042861486,0.061522715,0.080694017
OW436,Vancouver Island 1,Nanaimo,Cassidy,49.045399,-123.874614,160,4b,0,2004-01-01,26,CHEMAINUS,192. 51318. 52941,132. 29411,0,0,3B24P,38,1,,CED,20,0.1,200,0.948753179,0.941667064,0.902515593,0.884161623,0.10513863,0.11724314,0.157218163,0.192133388,0.434194003,0.794984304,1.102147389,1.193779388
OW432,Vancouver Island 3,Nanaimo,Yellowpoint,49.05833,-123.80978,162,5a,0,2004-01-01,26,CHEMAINUS,192. 51318. 52941,132. 29411,0,0,3A25P,30,1,,CED,15,0.1,100,0.9683685,0.933482559,0.866113314,0.833085899,0.099536567,0.138577342,0.194057732,0.231179619,0.265278799,0.628788283,1.089440956,1.215562534
OW435,Vancouver Island 3,Nanaimo,South Wellington,49.096728,-123.888749,165,5a,0,2004-01-01,132. 29411,ENTRANCE ISLAND,192. 51318. 52941,26,0,0,3A25P,7,2,,CED,20,0.001,100,0.945815111,0.926144237,0.878382971,0.871372454,0.101095809,0.143272002,0.194988606,0.211858791,0.463496992,0.841775359,1.168466091,1.171837318
OW349,Coastal 1,Surrey,Belcarra,49.32042,-122.90234,68,6b,0,2004-01-01,888,VANCOUVER HARBOUR CS,823,6830,0,0,1D17P,7,5,,COQ,20,0.001,200,0.920514685,0.857902798,0.850026351,0.81704823,0.120123955,0.165441806,0.175937329,0.204985642,0.492683585,0.871293771,1.036268517,1.160832402
OW200,Northern,Smithers,Dease Lake,58.43794,-129.9923,828,4b,1,2004-01-01,6845,DEASE LAKE (AUT),49628,0,0,0,4D11P,7,5,5,DFS,5,0.1,200,0.994036583,0.976581908,0.924661082,0.880128673,0.016667656,0.032272123,0.061271283,0.080117476,0.006184248,0.024320871,0.079558926,0.131193227
