Well,Regional_group,Region,Location,latitude,longitude,aquifer_id,subtype_sym,Snow_influenced,Training_start_date,Climate_station_Id,Climate_station_me,Climate_Infilled_id,Climate_secondary_Infilled,Climate_tertiary_Infilled,Climate_quaternary_Infilled,snow_stn,Lag_time,DWC_Precip,DWC_Snow,station_name_RF_forecast,ann_size,ann_decay,ann_maxit,R2_14,R2_30,R2_60,R2_90,NRMSE_14,NRMSE_30,NRMSE_60,NRMSE_90,RSR_14,RSR_30,RSR_60,RSR_90
OW217,Interior 2,Penticton,Grand Forks,49.023016,-118.434061,158,1b,1,2004-01-01,1100,BILLINGS,1091,31067,1106,1105. 52938,2F05P,14,10,2,GDF,10,0.01,200,0.910865803,0.86052521,0.785711674,0.763921333,0.060210297,0.096297428,0.141852437,0.170846379,0.265000562,0.503099968,0.791182196,0.911375616
OW035,Interior 1,Kamloops,Stump Lake,50.39353,-120.32752,1174,4b,1,2004-01-01,1216,KAMLOOPS PRATT ROAD,42203,51423,1022,0,1F03P,7,100,100,GLI,15,0.1,200,0.992657324,0.980227551,0.955754803,0.94122311,0.017015988,0.028759674,0.045203249,0.05428156,0.008138187,0.023418988,0.055810469,0.077567222
OW363,Interior 3,Penticton,Wasa,49.79076,-115.74855,540,1b,1,2004-01-01,51818,CRANBROOK AIRPORT AUTO,1174. 50818,1180,0,0,2D14P,9,10,10,JSL,10,0.1,500,0.961963861,0.923181696,0.853833465,0.779768471,0.066966855,0.104121528,0.155884038,0.204488605,0.222208189,0.480915175,0.883106948,1.26015323
OW081,Interior 1,Kamloops,83 Mile,51.43115,-121.38021,124,6a,1,2004-01-01,51558,CLINTON A,53638,650,0,0,1C12P,24,10,5,LBU,10,0.1,200,0.980091019,0.939504215,0.849675504,0.747349726,0.025230565,0.044535263,0.073860521,0.100587037,0.025213788,0.078011891,0.19115003,0.319045293
OW332,Interior 2,Penticton,Oliver,49.137819,-119.569162,254,1a,1,2004-01-01,1053. 50269,PENTICTON A,1041,979,1091,1046,2G03P,155,10,0.5,MCC,5,0.1,500,0.997586322,0.991045349,0.968154316,0.945757505,0.011378694,0.022854586,0.043729872,0.057476343,0.002644307,0.010459109,0.035792316,0.059269003
OW405,Interior 2,Penticton,Oliver,49.16931,-119.5639,256,3,1,2004-01-01,1053. 50269,PENTICTON A,1041,979,1091,1046,2G03P,124,2,1,MCC,5,0.01,500,0.996606421,0.986893686,0.961802547,0.915812832,0.016459219,0.031778649,0.056095366,0.077941542,0.004359852,0.01898588,0.052406634,0.12252464
OW407,Interior 3,Penticton,Oliver,49.21599,-119.54109,255,1a,1,2004-01-01,1053. 50269,PENTICTON A,1041,979,1091,1046,2G03P,14,5,3,MCC,10,0.1,200,0.920686155,0.83772647,0.715853836,0.632184397,0.103729928,0.147242191,0.196260979,0.218507555,0.131922337,0.292892504,0.592289475,0.903462221
OW428,Vancouver Island 1,Nanaimo,Cowichan,48.79051,-123.95995,NA,NA,0,2004-01-01,26,CHEMAINUS,97,192. 51318. 52941,0,0,3A25P,51,100,,MES,20,0.001,100,0.890083126,0.852044006,0.835344319,0.814274216,0.081570984,0.107306586,0.139937044,0.160349636,0.52392978,0.758202619,0.952457372,1.08070687
OW429,Vancouver Island 1,Nanaimo,Cowichan,48.790505,-123.959954,178,4b,0,2004-01-01,26,CHEMAINUS,97,192. 51318. 52941,0,0,3A25P,106,10,,MES,5,0.1,100,0.797226042,0.783124003,0.745909037,0.727659907,0.127989229,0.134420041,0.147848229,0.154100924,0.327519248,0.370177975,0.476790075,0.543476116
OW459,Coastal 1,Surrey,Chilliwack,49.110477,-121.998289,8,3,1,2004-01-01,50368,CULTUS LAKE,810,707,706,0,1D19P,7,5,2,YXX,5,0.01,200,0.930113282,0.89912105,0.846751702,0.789776636,0.133284511,0.16150966,0.194220774,0.205606337,0.505530348,0.774571741,1.132102797,1.427945821
OW487,Interior 2,Penticton,Lumby,50.219445,-119.003821,314,4b,1,2004-01-01,46987,VERNON AUTO,48369,51117,6843,0,2F10P,7,100,100,WJV,15,0.01,200,0.860556931,0.759481715,0.707277759,0.651684149,0.140645384,0.197288773,0.226338556,0.213822862,0.221873271,0.452505095,0.915607056,1.365182867
OW437,Vancouver Island 1,imo,Cassidy,49.045426,-123.874615,161,1b,0,2004-01-01,26,CHEMAINUS,192. 51318. 52941,132. 29411,0,0,3B24P,14,5,,CED,10,0.01,200,0.929774998,0.910441929,0.878897345,0.83401455,0.106608452,0.125848579,0.160864577,0.201686,0.451136551,0.753942693,1.192895129,1.235785752
OW337,Vancouver Island 2,imo,Ladysmith,49.036948,-123.828877,162,5a,0,2004-01-01,26,CHEMAINUS,192. 51318. 52941,132. 29411,0,0,3A25P,82,0.5,,CED,15,0.01,200,0.985806134,0.95651575,0.893556819,0.831475366,0.033214184,0.05989152,0.097221794,0.122622406,0.033192623,0.113433984,0.311881441,0.530648675
OW281,Vancouver Island 3,imo,Saltspring Island,48.85179,-123.45708,721,5a,0,2004-01-01,77,NORTH PENDER ISLAND,51337,26,6810,0,1D17P,7,1,,SLT,20,0.01,100,0.928109907,0.918767095,0.911025095,0.906187316,0.127156463,0.144059629,0.153770749,0.159001372,0.859876492,0.96368179,1.054176318,1.090184491
OW292,Coastal 2,Surrey,Powell River,49.77559,-124.40106,836,NA,0,2004-01-01,45807,POWELL RIVER,327. 52018,0,0,0,3B17P,21,100,,PRW,15,0.1,200,0.817962833,0.754812724,0.69134671,0.645285801,0.126353378,0.151161914,0.174566273,0.188787264,0.44960387,0.613583843,0.794036094,0.905846861
OW422,Interior 1,Kamloops,Logan Lake,50.48783,-120.82906,822,4b,1,2004-01-01,51423,KAMLOOPS A,42203,1022,0,0,1C18P,7,10,5,PSK,5,0.01,200,0.870268813,0.767942418,0.695363107,0.630942746,0.082037013,0.130721044,0.166820139,0.193709116,0.289574856,0.535064416,0.667452701,0.856602168
OW369,Vancouver Island 1,Nanaimo,Black Creek Gravel Pit,49.87834,-125.26389,NA,NA,0,2004-01-01,152,CAPE MUDGE,145. 52979,155,0,0,3A25P,40,100,,QUI,5,0.01,100,0.964757747,0.936739711,0.912754405,0.893514279,0.075651053,0.100748854,0.134299937,0.158358488,0.357949147,0.704701578,0.950435254,1.144038137
OW383,Vancouver Island 2,Nanaimo,Quadra Island,50.055599,-125.189118,751,4a,0,2004-01-01,152,CAPE MUDGE,145. 52979,155,0,0,3A25P,40,10,,QUI,5,0.001,100,0.967826234,0.948954897,0.922852479,0.912758455,0.048370005,0.060307007,0.073290103,0.07873429,0.036692576,0.060879239,0.096330301,0.105240232
OW376,Interior 1,Kamloops,Junction Sheep Range Park,51.79912,-122.4505,NA,NA,1,2004-01-01,664. 50820,WILLIAMS LAKE A,650,51558,53638,0,1C12P,7,100,100,RIS,5,0.1,500,0.980313252,0.935289787,0.827378114,0.714604955,0.023155641,0.043561184,0.07597825,0.102804366,0.020326839,0.06713363,0.175877227,0.289283585
OW185,Interior 1,Kamloops,Salmon River,50.510924,-119.354275,97,1a,1,2004-01-01,6843,SALMON ARM CS,46987,1216,48369,0,1F03P,7,100,10,SLA,10,0.01,200,0.855348959,0.758268868,0.735013189,0.675554765,0.089095868,0.119995603,0.130978412,0.146221308,0.274413319,0.466044019,0.55458696,0.675451405
OW381,Interior 1,Kamloops,Canoe Creek,50.652616,-119.20174,108,4a,1,2004-01-01,6843,SALMON ARM CS,46987,1216,48369,0,1F03P,12,100,3,SLA,10,0.1,200,0.984060942,0.958469609,0.912434929,0.849077732,0.028317194,0.047190145,0.065677213,0.079534492,0.019122621,0.050104575,0.113604928,0.200090452
OW464,Interior 1,Kamloops,Canoe Creek,50.65262,-119.20195,109,4b,1,2004-01-01,6843,SALMON ARM CS,46987,1216,48369,0,1F03P,7,100,100,SLA,5,0.1,200,0.988181971,0.969616916,0.899543867,0.8233869,0.02290353,0.036583201,0.062347597,0.081419394,0.017107974,0.050446572,0.14317213,0.246850616
OW320,Vancouver Island 1,Nanaimo,Cobble Hill,48.69892,-123.58202,197,4b,0,2004-01-01,51337,VICTORIA INTL A,97,54641,87,0,1D17P,58,3,,SLT,15,0.001,100,0.944572778,0.924128747,0.892440072,0.861961125,0.075064115,0.094223846,0.124706911,0.150530777,0.242254473,0.425188106,0.640511982,0.783816691
OW258,Vancouver Island 2,Nanaimo,Galiano Island,48.87386,-123.32605,320,5a,0,2004-01-01,77,NORTH PENDER ISLAND,6810,766,96,0,1D17P,7,3,,SLT,20,0.01,100,0.900826566,0.872973198,0.848402676,0.833929781,0.131033807,0.154501162,0.17272584,0.181795598,0.780697976,0.911124488,1.045853819,1.078241263
OW283,Vancouver Island 2,Nanaimo,Pender Island,48.81503,-123.31447,711,NA,0,2004-01-01,77,NORTH PENDER ISLAND,6810,51337,96,87,1D17P,18,1,,SLT,10,0.01,100,0.831686375,0.799979763,0.782076927,0.769880992,0.12859433,0.15496383,0.17940685,0.182851518,0.732267555,0.900377359,1.030627303,1.074788047
OW327,Vancouver Island 2,Nanaimo,Galiano Island,48.885558,-123.334866,320,5a,0,2004-01-01,77,NORTH PENDER ISLAND,6810,766,96,0,1D17P,7,5,,SLT,20,0.01,100,0.931251337,0.866672858,0.814145,0.793317933,0.077640779,0.109757632,0.135430242,0.143512019,0.268112529,0.418089342,0.515693712,0.553065369
OW373,Vancouver Island 3,Nanaimo,Saltspring Island,48.83867,-123.51075,722,5a,0,2004-01-01,77,NORTH PENDER ISLAND,26,51337,97,0,1D17P,34,1,,SLT,10,0.1,200,0.950245888,0.925000204,0.909661416,0.895798746,0.115120463,0.145620762,0.170827867,0.191441125,0.387662372,0.754393782,1.059166228,1.163740934
OW438,Vancouver Island 3,Nanaimo,Salt Spring Island,48.89015,-123.50125,721,5a,0,2004-01-01,26,CHEMAINUS,77,51337,97,0,1D17P,37,1,,SLT,20,0.1,100,0.97190931,0.944722721,0.892361913,0.863848629,0.085317952,0.119264853,0.169761607,0.188183679,0.175169794,0.347737905,0.643096716,0.852192713
OW117,Interior 2,Penticton,Armstrong,50.427103,-119.227723,1155,NA,1,2004-01-01,46987,VERNON AUTO,6843,48369,51117,0,1F03P,7,10,10,SSM,15,0.1,200,0.967819317,0.918813633,0.8560598,0.813649056,0.050740852,0.074010692,0.100676759,0.11909627,0.075081832,0.216537661,0.459855488,0.652257048
OW384,Interior 3,Penticton,Spallumcheen,50.499953,-119.211984,102,4b,1,2004-01-01,6843,SALMON ARM CS,46987,48369,51117,0,1F03P,7,10,3,SSM,15,0.1,200,0.97311295,0.927873426,0.823815518,0.763509048,0.036244824,0.058874517,0.094496392,0.112405734,0.041755489,0.119835333,0.306831928,0.448525447
OW409,Interior 3,Penticton,Spallumcheen,50.510481,-119.225923,103,4a,1,2004-01-01,6843,SALMON ARM CS,46987,48369,51117,0,1F03P,7,100,10,SSM,15,0.1,200,0.986626766,0.953083859,0.883782288,0.837175383,0.025659505,0.047090851,0.074247481,0.089525454,0.015284141,0.053972922,0.140996506,0.218048154
OW412,Interior 3,Penticton,Summerland,49.734442,-120.156664,1264,6b,1,2004-01-01,27122,JELLICOE,1046,1056. 52958,6834,979,2G03P,7,100,10,TCW,5,0.01,500,0.927361724,0.889095911,0.790432617,0.803395409,0.099202859,0.138727025,0.203472698,0.215303227,0.345685862,0.635830692,0.923287997,1.148574407
OW329,Vancouver Island 3,Nanaimo,Ucluelet,48.994962,-125.59433,159,4a,0,2004-01-01,283,UCLUELET KENNEDY CAMP,277. 52960,235,262,0,3A25P,41,5,,TEF,5,0.01,100,0.974640513,0.955064549,0.934876078,0.9313209,0.066076225,0.089551737,0.108884189,0.118518328,0.228260699,0.520278163,0.843728528,0.993414343
OW374,Interior 1,Kamloops,108 Mile,51.748824,-121.377389,131,4b,1,2004-01-01,650,SPOKIN LAKE 4E,51558,664. 50820,53638,0,1C20P,7,100,3,TMY,5,0.001,200,0.982618566,0.97250394,0.960038879,0.926794066,0.028531153,0.032473072,0.037734048,0.050299615,0.017551625,0.026807971,0.03901131,0.066586182
OW460,Coastal 1,Surrey,Gibsons,49.401641,-123.520065,560,4a,0,2004-01-01,309,GIBSONS GOWER POINT,45267,45788,6817,0,3A25P,89,0.5,,TSE,10,0.1,100,0.856584238,0.807417372,0.752917251,0.680023455,0.07169549,0.085210527,0.099825685,0.111199326,0.152504686,0.204944735,0.261719711,0.339054043
OW490,Coastal 1,Surrey,Langley,49.14763,-122.53144,24,1a,1,2004-01-01,43723,FORT LANGLEY TELEGRAPH TRAIL,747,6830,702. 50308. 54238,810,1D19P,7,100,5,UBC,10,0.001,200,0.98064758,0.968344443,0.950072793,0.932451107,0.105116688,0.137701259,0.175342507,0.227884246,0.413237539,0.589096408,1.010684909,1.204266344
OW463,Coastal 2,Surrey,Mission,49.220192,-122.379292,884,4c,0,2004-01-01,810,MISSION WEST ABBEY,43723,702. 50308. 54238,6830,0,1D17P,86,1,,UBC,10,0.1,100,0.984646454,0.972210502,0.951873006,0.93009737,0.045167502,0.063696167,0.084319862,0.102644911,0.047836535,0.121938636,0.294911385,0.48311218
OW474,Coastal 2,Surrey,Miracle Valley,49.23549,-122.23649,25,4b,0,2004-01-01,810,MISSION WEST ABBEY,702. 50308. 54238,43723,50368,0,1D18P,48,1,,UBC,10,0.001,100,0.96963887,0.936986115,0.922736017,0.934854465,0.104582463,0.134351035,0.15272011,0.155892012,0.106586203,0.321691494,0.598398682,0.867844786
OW479,Coastal 2,Surrey,Maple Ridge,49.18354,-122.45753,19,5a,0,2004-01-01,43723,FORT LANGLEY TELEGRAPH TRAIL,810,6830,702. 50308. 54238,747,1D18P,70,0.5,,UBC,15,0.1,100,0.991854273,0.97710493,0.940626993,0.895185,0.025205069,0.043970389,0.070627903,0.091089392,0.011596011,0.033213888,0.085086799,0.147154704
OW491,Coastal 2,Surrey,Maple Ridge,49.19573,-122.47144,26,4b,0,2004-01-01,43723,FORT LANGLEY TELEGRAPH TRAIL,810,6830,747,702. 50308. 54238,1D18P,57,3,,UBC,10,0.01,100,0.975814727,0.961650438,0.930467562,0.839508158,0.085580471,0.105076149,0.152124904,0.235426359,0.118595464,0.271322486,0.558607975,0.939770632
OW502,Northern,Prince George,Valemount,52.81655,-119.27067,800,4b,1,2004-01-01,1237,BLUE RIVER A,8214,10223,10930,0,1E02P,7,100,5,VAL,5,0.01,200,0.977589965,0.943380936,0.881561527,0.861189206,0.049184676,0.081997192,0.118166986,0.129271293,0.031641942,0.066996762,0.142198228,0.244722889
OW455,Northern,Prince George,Vanderhoof,54.02345,-124.31642,242,4b,1,2004-01-01,55363,FORT ST JAMES GOLF CLUB,51538,50169,48370,48248,4A02P,7,100,100,VAN,10,0.1,200,0.918215149,0.823343495,0.707522011,0.606368622,0.071640333,0.106432891,0.136257525,0.164347065,0.08944933,0.182914194,0.291469484,0.387938158
OW309,Interior 2,Penticton,Golden,51.25933,-116.91873,450,NA,1,2004-01-01,54318,GOLDEN AIRPORT,1364. 52980,49492,49548,0,2A30P,10,100,3,VGE,15,0.01,500,0.913792724,0.851137136,0.79575581,0.780549051,0.073725383,0.11280557,0.148491935,0.159532841,0.326366317,0.635826743,0.863577667,0.940605253
OW201,Vancouver Island 1,Nanaimo,Alert Bay,50.58197,-126.92605,858,NA,0,2004-01-01,202. 51319,PORT HARDY A,271,48888,29733,0,3A24P,61,3,,VHD,5,0.1,200,0.961390932,0.935007968,0.879901211,0.83500408,0.052266475,0.070190885,0.09547921,0.112300726,0.128218834,0.250409365,0.434336098,0.594782753
OW262,Interior 2,Penticton,Kelow,49.860097,-119.421006,464,4b,1,2004-01-01,51117,KELOWNA UBCO,48369,1046,979,46987,2E07P,7,100,100,VKU,15,0.1,200,0.984158321,0.968610592,0.933974897,0.896075802,0.029225061,0.040377639,0.059200334,0.073401844,0.017593883,0.036335438,0.078282557,0.120057951
OW204,Vancouver Island 1,Nanaimo,Duncan,48.77047,-123.69335,186,1b,0,2004-01-01,26,CHEMAINUS,97,51337,0,0,1D17P,7,2,,VOO,20,0.001,100,0.93780679,0.911237228,0.895230137,0.893173251,0.097969627,0.125692274,0.144960061,0.152165874,0.69459281,0.948986083,1.044422172,1.057762555
OW355,Vancouver Island 1,Nanaimo,Chemainus,48.87472,-123.70362,172,1b,0,2004-01-01,26,CHEMAINUS,192. 51318. 52941,97,51337,0,3A25P,7,2,,VOO,15,0.001,100,0.940782678,0.904707331,0.874895006,0.860496037,0.088734099,0.118105637,0.143391327,0.157066926,0.589084203,0.775084717,0.893931857,0.960028684
OW430,Vancouver Island 1,Nanaimo,Cowichan,48.75567,-123.72598,198,5a,0,2004-01-01,26,CHEMAINUS,97,51337,0,0,1D17P,42,100,,VOO,20,0.01,200,0.968047116,0.953975377,0.950172812,0.945924709,0.10981754,0.138222252,0.146519174,0.159242974,0.327319247,0.614355707,0.89763283,1.124663305
OW431,Vancouver Island 1,Nanaimo,Cowichan,48.75567,-123.72598,199,4b,0,2004-01-01,26,CHEMAINUS,97,51337,0,0,1D17P,50,5,,VOO,5,0.01,200,0.983510615,0.971747653,0.966467078,0.951638946,0.076296846,0.106158297,0.114291036,0.140586171,0.203545233,0.490108759,0.821140084,1.055403437
OW488,Vancouver Island 1,Nanaimo,Cowichan,48.72946,-123.66332,197,4b,0,2004-01-01,51337,VICTORIA INTL A,97,87,0,0,3B26P,82,2,,VOO,15,0.01,200,0.990310769,0.972465247,0.940452289,0.929327802,0.078858483,0.137715931,0.203188055,0.227541421,0.117314464,0.352282814,0.748500631,1.025121605
OW287,Vancouver Island 1,Nanaimo,Coombs,49.301596,-124.415168,220,5a,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,0,0,3A25P,34,100,,VOQ,15,0.1,100,0.892401157,0.857696662,0.825016143,0.817108058,0.080920513,0.098980829,0.10860681,0.109968958,0.167349739,0.229599662,0.300368987,0.334985758
OW424,Vancouver Island 1,Nanaimo,Coombs,49.314,-124.40842,1250,4c,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,0,0,3A25P,144,2,,VOQ,10,0.1,100,0.8494229,0.785169729,0.725530672,0.694588543,0.089295864,0.10994772,0.128832379,0.1342564,0.16611943,0.240470109,0.320974795,0.364199477
OW304,Vancouver Island 2,Nanaimo,Parksville,49.310444,-124.330671,216,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,138,181,0,0,3B23P,12,100,,VOQ,20,0.1,100,0.990443813,0.984375808,0.971898943,0.956358634,0.023378201,0.030316343,0.041459148,0.051601112,0.009614909,0.01563326,0.02806339,0.043353976
OW314,Vancouver Island 2,Nanaimo,Parksville,49.31149,-124.34853,216,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,0,0,3A25P,69,10,,VOQ,5,0.1,100,0.986971027,0.975436377,0.95428376,0.930916732,0.029144582,0.040907016,0.055606738,0.068566517,0.01830624,0.038256249,0.078275281,0.120550336
OW391,Vancouver Island 2,Nanaimo,Little Qualicum,49.32983,-124.56006,662,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,8045,138,0,3B17P,7,1,,VOQ,5,0.001,100,0.976612114,0.965437015,0.95114177,0.909102996,0.035411483,0.042900924,0.053503413,0.070935055,0.023421259,0.034074929,0.045787317,0.080642481
OW395,Vancouver Island 2,Nanaimo,noose,49.28029,-124.28061,219,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,138,181,0,0,3B17P,25,3,,VOQ,20,0.1,200,0.929509565,0.900131785,0.855949477,0.824788069,0.136253083,0.162786667,0.196540544,0.231195577,0.474393596,0.638968405,0.875044321,1.039982867
OW398,Vancouver Island 2,Nanaimo,Parksville,49.307161,-124.311776,216,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,138,181,0,0,3A25P,91,1,,VOQ,20,0.1,100,0.984974234,0.982599453,0.974661128,0.966992404,0.030571745,0.033782016,0.042031903,0.047970737,0.015232195,0.017836661,0.027585558,0.03729498
OW321,Vancouver Island 3,Nanaimo,Qualicum Beach,49.34769,-124.38281,1250,4c,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,0,0,3A25P,7,5,,VOQ,20,0.01,100,0.920266789,0.84538284,0.773932202,0.70009824,0.078462381,0.113367345,0.149053127,0.176841543,0.206395403,0.380533645,0.56492776,0.683149418
OW389,Vancouver Island 3,Nanaimo,Qualicum Beach,49.35992,-124.47597,664,1c,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,8045,0,3A25P,7,3,,VOQ,20,0.001,100,0.970577883,0.948593507,0.936578952,0.932679207,0.106529871,0.141492025,0.156905796,0.165150165,0.59156092,0.898650005,1.077272045,1.113594123
OW433,Vancouver Island 3,Nanaimo,Qualicum,49.34244,-124.40625,1250,4c,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,0,0,3A25P,7,3,,VOQ,5,0.001,100,0.949647638,0.87663398,0.828178202,0.77828825,0.082772228,0.131096823,0.16677523,0.19514006,0.18189322,0.398413144,0.531804657,0.612406696
OW434,Vancouver Island 3,Nanaimo,Qualicum,49.34232,-124.40714,217,4b,0,2004-01-01,45627,QUALICUM BEACH AIRPORT,181,138,0,0,3B23P,94,100,,VOQ,15,0.01,200,0.9325128,0.931426775,0.915040847,0.906127449,0.071225118,0.071842788,0.079790692,0.084972895,0.068512463,0.069768076,0.085715343,0.096259565
OW451,Coastal 1,Surrey,Hope,49.36575,-121.48121,1,1a,1,2004-01-01,50517,HOPE AIRPORT,49588,951,707,706,1D19P,7,100,3,VPE,10,0.01,200,0.91865417,0.851502023,0.754544107,0.743832533,0.134184153,0.180803513,0.235469168,0.246794321,0.550743514,0.978554953,1.448886564,1.41467864
OW260,Interior 1,Kamloops,Quesnel,52.96489,-122.46749,115,4b,1,2004-01-01,48688,QUESNEL,48108,664. 50820,650,0,1C41P,7,100,3,VQZ,10,0.001,500,0.978932786,0.96046596,0.927055816,0.895185252,0.027147256,0.034610292,0.046362456,0.055557341,0.020687757,0.039973244,0.068870724,0.101185472
